I omitted some irrelevant ones,,,,,,,,,
,,,,,,,,,
Boss,Generic,Wylder,Guardian,Ironeye,Duchess,Raider,Revenant,Recluse,Executor
Night of the Fathom,Grand Burning Scene,Slate Whetstone,Stone Stake,Grand Burning Scene,Golden Dew,Torn Braided Cord,Small Makeup Brush,Vestige of Night,Golden Sprout
Increased Maximum HP,Increased rune acquisition for self and allies,[Wylder] Follow-up attacks possible when using Character Skill (greatsword only),[Guardian] Increased duration for Character skill,[Ironeye] Art Charge Activation adds poison,[Duchess] Improved Character Skill Attack Power,[Raider] Damage taken while using Character skill improves attack power and stamina,[Revenant] Power up while fighting alongside family,[Recluse] Collecting affinity residue activates Terra Magica,[Executor] Roaring restores HP while Art is active
Flask Also heals Allies,Stonesword Key in possession at start of expedition,Physical Attack Up,Character skill Cooldown Reduction +3,Attack power up when facing poison-afflicted enemy,Boosts Attack Power of Added Affinity Attacks,Strength +3,Increased rune acquisition for self and allies,Magic Attack Power Up +2,HP Recovery From Successful Guarding
Items confer effect to all nearby allies,Rune discount for shop purchases while on expedition,,,Ultimate Art Guage +3,,,,,Slowly restore HP for self and nearby allies when HP is low
,,,,,,,,,
Night of the Demon,Grand Burning Scene,Silver Tear,Third Volume,Cracked Sealing Wax,Crown Medal,Black Claw Necklace,Old Portrait,Bone-Like Stone,Grand Burning Scene
Huge rune discount for shop purchases while on expedition,Slowly restore HP for self and nearby allies when HP is low,[Wylder] Art guage greatly filled when ability is activated,[Guardian] Creates whirlwind when charging halberd attacks,[Ironeye] Extends duration of weak point,[Duchess] Dagger chain attack reprises event upon nearby enemies,Defeating enemies near Totem Stela restores HP,[Revenant] Expend own HP to fully heal nearby allies when activating Art,[Recluse] Suffer blood loss and increase attack power upon Art activation,[Executor] Roaring restores HP while Art is active
"Gesture ""Crossed Legs"" Builds Up Madness",Improved Damage Negation when at low HP,Arcane +3,HP Restoration upon Halberd Attacks,Critical hits Earn Runes,Improved Dagger Attack Power,Defeating enemies fills more of the Art guage,[Revenant] Trigger ghostflame explosion during Ultimate Art activation,[Recluse] Activating Ultimate Art raises Max HP,Dexterity +2
Madness Continually Recovers FP,Vigor +3,Ultimate Art Guage +3,,,,Poise +3,Defeating enemies fills more of the Art guage,Intelligence +3,Arcane +2
,,,,,,,,,
Dark Night of the Baron,Grand Burning Scene,The Wylder's Earring,Grand Burning Stone,Edge of Order,Blessed Iron Coin,Grand Luminous Scene,Grand Drizzly Scene,,Blessed Flowers
Improved Critical Hits +1,Improved Stance Breaking when wielding two armaments,[Wylder] +1 additional Character Skill use,[Guardian] Reflect a portion of damage received when ability is activated,[Ironeye] Boosts thrusting counterattacks after executing Art,[Duchess] Defeating enemies while Art is active ups attack power,[Raider] Duration of Ultimate Art extended,[Revenant] Strengthens Families and Allies when Ultimate Art is activated,,"[Executor] While Character skill is active, unlocking use of cursed sword restores HP"
Improved Critical Hits,Stamina Recovers with each successful attack,[Wylder] Art activation spreads fire in area,Art Guage charged from successful guarding,Improved Bow Attack Power,Continuous HP Recovery,Improved Collosal Weapon Attack Power,Item confer effect to all nearby allies,,Dexterity +3
Critical Hit Earn Runes,Endurance +3,Stamina recovers with each successful attack,Endurance +3,Starting armament deals holy damage,Vigor +3,Endurance +3,Starlight Shards in possession at start of expedition,,
,,,,,,,,,
Night of the Champion,Fell Omen Fetish,Grand Drizzly Stone,Witch's Brooch,Grand Luminous Scene,Grand Tranquil Scene,,,,Grand Luminous Scene
Increased Maximum Stamina,Switching Weapons Boosts Attack Power,[Wylder] Art Activation Spreads fire in the area,[Guardian] Slowly restores nearby allies' HP while Art is active,[Ironeye] Extends duration of weak point,[Duchess] Improved Character Skill Attack Power,,,,[Executor] Character Skill boosts Attack but Attacking Drains HP
Guard counter is given a boost based on current HP,Improved Throwing Knife Damage,Change armament skill to Flaming Strike,[Guardian] Reflect a portion of damage received when ability is activated,Endurance +2,Dexterity +2,,,,HP recovery from successful guarding
HP Restoration upon Thrusting Counterattack,Vigor +1,Fire attack power up +2,Vigor +3,Dexterity +2,Intelligence +2,,,,Art Guage Charged from successful guarding
,,,,,,,,,
Night of the Beast,Besmirched Frame,,,,Grand Tranquil Scene,,,,
Stamina recovers with each successful attack +1,Taking attacks improves attack power,,,,[Duchess] Become difficult to spot and silence footsteps after landing critical from behind,,,,
Starting armament deals fire damage,Faith +3,,,,Improved Critical Hits,,,,
,,,,,Character Skill Cooldown Reduction +2,,,,
,,,,,,,,,
Dark Night of the Wise,Grand Drizzly Stone,,,,,,,,
Increased Maximum FP,Starlight Shards in possession at start of expedition,,,,,,,,
FP Restoration upon Successive Attacks,Starlight Shards in possession at start of expedition,,,,,,,,
Max FP permanently increased after releasing Sorcer's Rise Mechanism,Starlight Shards in possession at start of expedition,,,,,,,,
,,,,,,,,,
Dark Night of the Miasma,Old Pocketwatch,,,,,,,,
Nearby Frostbite Conceals Self,FP Restoration upon Successive Attacks,,,,,,,,
Starting armament inflicts frost,Dexterity +3,,,,,,,,
Improved Physical Damage Negation,,,,,,,,,
,,,,,,,,,
Dark Night of the Fathom,Grand Tranquil Scene,,,,,,,,
Increased Maximum HP,Partial HP Restoration upon Post-Damage Attacks,,,,,,,,
Continuous HP Recovery,Vigor +2,,,,,,,,
Slowly restore HP for self and allies when HP is low,Poise +2,,,,,,,,
,,,,,,,,,
Night of the Baron,Grand Tranquil Scene,,,,,,,,
Improved Critical Hits +1,Improved Stance Breaking when two handing,,,,,,,,
Art gauge fills moderately upon critical hit,Improved Initial Standard Attack,,,,,,,,
Critical Hit Boosts Stamina Recovery Speed,Poise +3,,,,,,,,
,,,,,,,,,
Night of the Lord,Grand Tranquil Scene,,,,,,,,
Switching Weapons Adds an Affinity Attack,Max FP Up with 3+ Staves Equipped,,,,,,,,
Boosts Attack Power of Added Affinity Attacks,Max FP permanently increased after releasing Sorcerer's Rise mechanism,,,,,,,,
Switching Weapons Boosts Attack Power,Magic Attack Power Up,,,,,,,,
,,,,,,,,,
Dark Night of the Demon,Grand Luminous Scene,,,,,,,,
Taking attacks improves attack power,Attack Power permanently increased for each evergoal prisoner defeated,,,,,,,,
"Gesture ""Crossed Legs"" Builds Up Madness",Treasure marked upon map,,,,,,,,
Madness Continually Recovers FP,Stoneward Key in possession at start of expedition,,,,,,,,
,,,,,,,,,
Night of the Wise,,,,,,,,,
Increased Maximum FP,,,,,,,,,
Starting armament inflicts poison,,,,,,,,,
Poison & Rot in Vicinity Increases Attack Power,,,,,,,,,
,,,,,,,,,
Night of the Miasma,,,,,,,,,
Nearby Frostbite Conceals Self,,,,,,,,,
Changes compatible armament's skill to Chilling Mist at start of expedition,,,,,,,,,
Attack power up when facing frostbite-afflicted enemy,,,,,,,,,
,,,,,,,,,
Dark Night of the Champion,,,,,,,,,
Increased Maximum Stamina,,,,,,,,,
Boosts Attack Power of Added Affinity Attacks,,,,,,,,,
Defeating enemies fills more of the Art gauge,,,,,,,,,
,,,,,,,,,
Dark Night of the Beast,,,,,,,,,
Stamina Recovery upon Landing Attacks +1,,,,,,,,,
Taking attacks improves attack power,,,,,,,,,
Fire Attack Power Up +2,,,,,,,,,